0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
38278,395,119,70,24,24,9,10,3,1,1,1,0,0,0,0,0,0,0,0
37905,542,212,116,53,41,27,14,13,7,4,1,0,0,0,0,0,0,0,0
38514,318,62,28,7,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
38041,487,172,91,57,37,19,8,8,9,3,3,0,0,0,0,0,0,0,0
38714,127,42,21,10,11,5,2,1,0,1,1,0,0,0,0,0,0,0,0
38703,137,44,19,12,5,9,4,0,0,1,0,0,1,0,0,0,0,0,0
38364,405,91,39,19,10,4,2,1,0,0,0,0,0,0,0,0,0,0,0
38314,348,114,46,37,21,19,10,6,7,8,3,1,0,0,1,0,0,0,0
38600,182,69,40,20,7,9,4,2,0,1,1,0,0,0,0,0,0,0,0
38410,288,97,46,36,13,16,6,8,5,3,4,1,1,1,0,0,0,0,0
38733,133,29,11,11,8,4,2,0,0,3,0,1,0,0,0,0,0,0,0
38851,40,22,8,5,2,4,0,0,1,1,1,0,0,0,0,0,0,0,0
38492,195,82,51,23,13,22,8,11,10,4,7,4,5,4,3,1,0,0,0
38556,172,69,38,17,17,16,8,11,8,4,7,4,4,3,1,0,0,0,0
38849,49,22,9,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0
38919,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38748,144,22,10,4,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0
38751,160,16,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35052,1487,741,465,307,207,175,106,115,84,75,61,34,14,8,2,1,1,0,0
37960,581,181,75,44,26,19,9,16,11,4,4,3,2,0,0,0,0,0,0
38732,137,31,15,12,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0
38724,107,49,21,12,7,4,7,2,2,0,0,0,0,0,0,0,0,0,0
38743,136,31,7,7,1,4,3,1,1,1,0,0,0,0,0,0,0,0,0
38840,75,10,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38535,322,70,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37285,804,312,183,116,96,59,33,32,6,7,0,1,1,0,0,0,0,0,0
38923,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38901,25,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38896,27,5,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
38708,154,47,17,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
38857,48,15,7,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38884,26,16,3,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38789,118,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38849,47,20,10,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
